,DateAcqTime,GridPower,wind_Spd,GridPowerMA,WindSpdMA
0,2015-10-01 00:00:00,0.40105033333333345,0.39836099999999997,,
1,2015-10-01 00:15:00,0.378029,0.3909376666666667,,
2,2015-10-01 00:30:00,0.3716966666666667,0.3888043333333333,,
3,2015-10-01 00:45:00,0.3886936666666667,0.39789433333333346,,
4,2015-10-01 01:00:00,0.34972600000000004,0.3845923333333333,,
5,2015-10-01 01:15:00,0.342935,0.37849466666666676,,
6,2015-10-01 01:30:00,0.318539,0.37304200000000004,,
7,2015-10-01 01:45:00,0.31431266666666674,0.3695466666666667,,
8,2015-10-01 02:00:00,0.32896899999999996,0.37361999999999995,,
9,2015-10-01 02:15:00,0.29315299999999994,0.3662473333333334,,
10,2015-10-01 02:30:00,0.29040233333333343,0.3698726666666667,,
11,2015-10-01 02:45:00,0.21855233333333335,0.3411956666666667,,
12,2015-10-01 03:00:00,0.212463,0.3384153333333334,,
13,2015-10-01 03:15:00,0.195971,0.33074066666666657,,
14,2015-10-01 03:30:00,0.19188899999999995,0.33091733333333334,,
15,2015-10-01 03:45:00,0.1517373333333333,0.312464,,
16,2015-10-01 04:00:00,0.16656733333333332,0.31468900000000005,,
17,2015-10-01 04:15:00,0.20366766666666666,0.33004400000000006,,
18,2015-10-01 04:30:00,0.21289433333333335,0.33736799999999995,,
19,2015-10-01 04:45:00,0.19502266666666665,0.3271136666666667,0.2763135666666667,0.35771803333333335
20,2015-10-01 05:00:00,0.2124013333333333,0.33784000000000003,0.2668811166666667,0.3546919833333334
21,2015-10-01 05:15:00,0.2123743333333333,0.33053699999999997,0.2585983833333333,0.35167195
22,2015-10-01 05:30:00,0.2037593333333333,0.33387500000000003,0.2502015166666666,0.34892548333333334
23,2015-10-01 05:45:00,0.16453666666666666,0.31392166666666665,0.23899366666666663,0.34472685000000003
24,2015-10-01 06:00:00,0.14707966666666666,0.298954,0.22886135,0.34044493333333337
25,2015-10-01 06:15:00,0.1491773333333333,0.298105,0.21917346666666665,0.33642545
26,2015-10-01 06:30:00,0.15433300000000003,0.3042296666666666,0.21096316666666665,0.3329848333333333
27,2015-10-01 06:45:00,0.15558566666666665,0.2987583333333334,0.20302681666666667,0.32944541666666666
28,2015-10-01 07:00:00,0.13945333333333332,0.29723099999999997,0.19355103333333332,0.32562596666666666
29,2015-10-01 07:15:00,0.12715466666666667,0.286216,0.18525111666666666,0.3216244
30,2015-10-01 07:30:00,0.10835963333333333,0.27558000000000005,0.17614898166666665,0.3169097666666667
31,2015-10-01 07:45:00,0.10672873333333333,0.27170233333333327,0.17055780166666665,0.3134351
32,2015-10-01 08:00:00,0.10824836666666666,0.2771586666666667,0.16534706999999998,0.3103722666666667
33,2015-10-01 08:15:00,0.1290303333333333,0.285211,0.16200003666666665,0.3080957833333334
34,2015-10-01 08:30:00,0.13345733333333334,0.2946183333333333,0.15907845333333331,0.30628083333333334
35,2015-10-01 08:45:00,0.11321533333333332,0.28395,0.15715235333333333,0.3048551333333333
36,2015-10-01 09:00:00,0.12212900000000002,0.28249599999999997,0.15493043666666667,0.30324548333333334
37,2015-10-01 09:15:00,0.13147833333333336,0.289475,0.15132097,0.3012170333333334
38,2015-10-01 09:30:00,0.1260273333333333,0.28681966666666664,0.14697762,0.29868961666666666
39,2015-10-01 09:45:00,0.112866,0.2766796666666667,0.14286978666666666,0.29616791666666664
40,2015-10-01 10:00:00,0.10456433333333333,0.2718323333333334,0.13747793666666666,0.2928675333333334
41,2015-10-01 10:15:00,0.10867953333333331,0.2699783333333334,0.13229319666666667,0.2898396
42,2015-10-01 10:30:00,0.11799133333333334,0.28171399999999996,0.12800479666666667,0.28723155
43,2015-10-01 10:45:00,0.0975419,0.266213,0.12465505833333335,0.28484611666666665
44,2015-10-01 11:00:00,0.08377873333333334,0.2590996666666667,0.12149001166666666,0.28285340000000003
45,2015-10-01 11:15:00,0.07212033333333334,0.24558866666666665,0.11763716166666667,0.2802275833333333
46,2015-10-01 11:30:00,0.07015833333333332,0.24367766666666674,0.11342842833333333,0.27719998333333334
47,2015-10-01 11:45:00,0.06879283333333333,0.24156966666666668,0.10908878666666669,0.27434055
48,2015-10-01 12:00:00,0.06513566666666668,0.23904199999999998,0.10537290333333334,0.2714311
49,2015-10-01 12:15:00,0.05039999999999999,0.23057433333333335,0.10153516999999998,0.26864901666666663
50,2015-10-01 12:30:00,0.04936133333333334,0.22514033333333333,0.09858525500000001,0.2661270333333333
51,2015-10-01 12:45:00,0.0434584,0.2203723333333333,0.09542173833333334,0.26356053333333335
52,2015-10-01 13:00:00,0.041692999999999994,0.21707966666666664,0.09209397,0.2605565833333333
53,2015-10-01 13:15:00,0.05067153333333334,0.22454833333333332,0.08817603,0.25752345
54,2015-10-01 13:30:00,0.027225133333333332,0.20275700000000005,0.08286442000000001,0.25293038333333334
55,2015-10-01 13:45:00,0.018104166666666664,0.194691,0.07810886166666667,0.24846743333333335
56,2015-10-01 14:00:00,0.016552233333333333,0.1949856666666666,0.07283002333333333,0.2440919166666667
57,2015-10-01 14:15:00,0.02976776666666667,0.20709266666666667,0.06774449499999999,0.23997279999999996
58,2015-10-01 14:30:00,0.04456146666666666,0.21789699999999998,0.06367120166666666,0.2365266666666667
59,2015-10-01 14:45:00,0.05153523333333334,0.22842500000000002,0.06060466333333334,0.23411393333333336
60,2015-10-01 15:00:00,0.055019399999999996,0.23166133333333333,0.05812741666666667,0.2321053833333333
61,2015-10-01 15:15:00,0.059009833333333324,0.23426566666666668,0.05564393166666667,0.23031975
