,Date,GridPower,WindSpd,GridPower_ma,WindSpd_ma,GridPower_predict
0,2015-10-01 00:00:00,12.031509999999999,11.950830000000002,,,3.4262339985168757
1,2015-10-01 00:15:00,11.340870000000002,11.728129999999998,,,3.329803945597344
2,2015-10-01 00:30:00,11.1509,11.664129999999998,,,3.3020916717453015
3,2015-10-01 00:45:00,11.66081,11.936829999999997,,,3.4201719386117397
4,2015-10-01 01:00:00,10.491780000000004,11.53777,,,3.247377251058676
5,2015-10-01 01:15:00,10.28805,11.354840000000003,,,3.1681677783125175
6,2015-10-01 01:30:00,9.55617,11.19126,,,3.0973369383638114
7,2015-10-01 01:45:00,9.42938,11.086399999999998,,,3.0519321096743535
8,2015-10-01 02:00:00,9.86907,11.2086,,,3.104845232560599
9,2015-10-01 02:15:00,8.794590000000001,10.98742,,,3.009073346145055
10,2015-10-01 02:30:00,8.712069999999999,11.096180000000002,,,3.056166891522371
11,2015-10-01 02:45:00,6.556569999999999,10.235869999999998,,,2.683648980309074
12,2015-10-01 03:00:00,6.37389,10.152460000000001,,,2.6475320934028432
13,2015-10-01 03:15:00,5.879130000000001,9.922220000000001,,,2.5478371882201194
14,2015-10-01 03:30:00,5.7566700000000015,9.927520000000001,,,2.5501321108984922
15,2015-10-01 03:45:00,4.5521199999999995,9.37392,,,2.310420942078322
16,2015-10-01 04:00:00,4.99702,9.44067,,,2.3393239776974446
17,2015-10-01 04:15:00,6.11003,9.901319999999998,,,2.5387873987903107
18,2015-10-01 04:30:00,6.386829999999999,10.12104,,,2.633927098958606
19,2015-10-01 04:45:00,5.85068,9.813409999999998,8.289407,10.731541,2.5007219926288555
20,2015-10-01 05:00:00,6.372039999999998,10.135200000000001,8.0064335,10.6407595,2.6400584395483704
21,2015-10-01 05:15:00,6.3712300000000015,9.91611,7.7579515,10.5501585,2.545191532075807
22,2015-10-01 05:30:00,6.112780000000001,10.016250000000003,7.506045500000001,10.467764500000001,2.588552580568676
23,2015-10-01 05:45:00,4.936099999999998,9.41765,7.16981,10.3418055,2.329356219196288
24,2015-10-01 06:00:00,4.41239,8.96862,6.8658405,10.213348,2.1349243078246825
25,2015-10-01 06:15:00,4.475320000000001,8.94315,6.575204000000001,10.0927635,2.1238956888401272
26,2015-10-01 06:30:00,4.629989999999999,9.126890000000001,6.328895,9.989545000000001,2.203455895052227
27,2015-10-01 06:45:00,4.6675699999999996,8.962750000000003,6.0908045,9.8833625,2.132382572707317
28,2015-10-01 07:00:00,4.1836,8.91693,5.8065310000000006,9.768779,2.112542316646369
29,2015-10-01 07:15:00,3.81464,8.586480000000002,5.5575335,9.648732,1.969456052671252
30,2015-10-01 07:30:00,3.250789,8.2674,5.28446945,9.507293,1.831293047347661
31,2015-10-01 07:45:00,3.201862,8.151069999999999,5.11673405,9.403053,1.7809216595787833
32,2015-10-01 08:00:00,3.2474510000000003,8.31476,4.9604121,9.311168,1.8518001299981721
33,2015-10-01 08:15:00,3.87091,8.55633,4.8600011,9.2428735,1.9564009736612658
34,2015-10-01 08:30:00,4.0037199999999995,8.838550000000001,4.7723536,9.188425,2.0786034412631955
35,2015-10-01 08:45:00,3.3964600000000007,8.5185,4.7145706,9.145654,1.9400204217890344
36,2015-10-01 09:00:00,3.6638700000000006,8.474880000000002,4.6479131,9.097364500000001,1.9211327751417526
37,2015-10-01 09:15:00,3.9443499999999996,8.684249999999999,4.5396291,9.036511,2.0117908810230354
38,2015-10-01 09:30:00,3.7808200000000003,8.60459,4.4093286,8.9606885,1.9772977601628212
39,2015-10-01 09:45:00,3.3859800000000004,8.300389999999997,4.2860936,8.8850375,1.8455778585098295
40,2015-10-01 10:00:00,3.1369299999999996,8.15497,4.1243381,8.786026000000001,1.7826103762666428
41,2015-10-01 10:15:00,3.2603859999999996,8.09935,3.9687959,8.695188,1.7585266782721014
42,2015-10-01 10:30:00,3.5397400000000006,8.451419999999999,3.8401438999999997,8.616946500000001,1.9109744947578617
43,2015-10-01 10:45:00,2.926256999999999,7.98639,3.73965175,8.5453835,1.7096145149232465
44,2015-10-01 11:00:00,2.5133620000000003,7.772989999999998,3.64470035,8.485602,1.6172114017978405
45,2015-10-01 11:15:00,2.16361,7.367659999999999,3.52911485,8.4068275,1.4417017774158332
46,2015-10-01 11:30:00,2.10475,7.3103299999999996,3.40285285,8.3159995,1.4168776421043083
47,2015-10-01 11:45:00,2.063785,7.247090000000001,3.2726636,8.2302165,1.3894944515042593
48,2015-10-01 12:00:00,1.9540700000000006,7.171260000000001,3.1611871000000002,8.142933000000001,1.3566597370323783
49,2015-10-01 12:15:00,1.5119999999999998,6.917229999999999,3.0460551000000002,8.0594705,1.2466636600537147
50,2015-10-01 12:30:00,1.48084,6.754209999999999,2.9575576500000005,7.983811,1.1760753025012143
51,2015-10-01 12:45:00,1.303752,6.6111699999999995,2.8626521499999997,7.906816000000001,1.1141383704418995
52,2015-10-01 13:00:00,1.2507899999999998,6.512389999999999,2.7628191,7.816697499999999,1.0713662077683868
53,2015-10-01 13:15:00,1.5201460000000004,6.7364500000000005,2.6452809,7.725703499999999,1.1683851465072732
54,2015-10-01 13:30:00,0.8167540000000001,6.082710000000001,2.4859326000000004,7.5879115,0.8853129291942361
55,2015-10-01 13:45:00,0.5431250000000001,5.840730000000001,2.34326585,7.454023000000001,0.780534553776778
56,2015-10-01 14:00:00,0.49656700000000004,5.84957,2.1849007,7.3227575,0.7843623116025911
57,2015-10-01 14:15:00,0.8930330000000002,6.212779999999998,2.03233485,7.199184,0.9416337957557221
