,GridPower,WindSpd,GridPowerMA,WindSpdMA
138,0.21321233333333334,0.3361186666666666,0.1883902166666667,0.32681165
139,0.2001476666666666,0.3286576666666667,0.1903913166666667,0.3276868666666667
140,0.22055100000000002,0.3367719999999999,0.19328721666666668,0.32888721666666665
141,0.256483,0.3557923333333332,0.19782545,0.33094095
142,0.256884,0.3569963333333333,0.2023857666666667,0.3329207833333333
143,0.25824933333333333,0.3580026666666667,0.20782716666666667,0.3353752
144,0.2666396666666667,0.3602453333333333,0.21294916666666666,0.33761195
145,0.25331766666666666,0.3561216666666666,0.21616328333333334,0.3389522833333333
146,0.2591763333333334,0.3578203333333333,0.21981765000000003,0.34034533333333333
147,0.2691796666666667,0.3613853333333333,0.22428433333333336,0.3421242333333333
148,0.26301733333333327,0.3603343333333332,0.22813161666666665,0.34379706666666665
149,0.30006333333333335,0.37473433333333334,0.23271318333333335,0.34552788333333334
150,0.3163356666666667,0.380303,0.23904958333333334,0.3480115833333333
151,0.33009333333333346,0.3843376666666667,0.24619080000000002,0.3509291
152,0.34014333333333335,0.38967366666666664,0.25310546666666667,0.3539770333333333
153,0.37755033333333327,0.4000743333333334,0.26134565,0.35728689999999996
154,0.42606466666666665,0.41590066666666664,0.27198336666666667,0.36123456666666665
155,0.42437166666666665,0.4161683333333333,0.2826805,0.36524495
156,0.4230933333333334,0.41192399999999996,0.2934214,0.3690441666666667
157,0.3985006666666668,0.40319600000000005,0.3026537166666667,0.37222793333333326
158,0.392325,0.4002833333333334,0.31160935,0.3754361666666666
159,0.367677,0.3922503333333333,0.3199858166666667,0.3786158
160,0.3702620000000001,0.39336399999999994,0.3274713666666667,0.38144539999999993
161,0.3690753333333333,0.3946116666666667,0.3331009833333333,0.38338636666666664
162,0.33277866666666667,0.38194266666666665,0.33689571666666673,0.3846336833333333
163,0.29617200000000005,0.3695246666666666,0.33879185,0.38520978333333333
164,0.32474266666666673,0.3771020000000001,0.34169700000000003,0.3860526166666666
165,0.3632066666666667,0.393389,0.34719145000000007,0.3879159833333333
166,0.35570233333333334,0.39080600000000015,0.35201775,0.38956526666666663
167,0.29539066666666663,0.370467,0.3533283,0.39001935000000004
168,0.291648,0.3671753333333334,0.3547598333333334,0.3903614
169,0.2852846666666667,0.36541666666666667,0.3540209,0.38989551666666666
170,0.2625303333333334,0.3534456666666667,0.35133063333333336,0.38855265
171,0.25605100000000003,0.3503326666666667,0.3476285166666667,0.3868524
172,0.24598033333333336,0.35105933333333333,0.3429203666666667,0.3849216833333334
173,0.22619599999999995,0.342651,0.33535265000000003,0.3820505166666667
174,0.2512753333333334,0.35642799999999997,0.32661318333333333,0.37907688333333334
175,0.24485399999999996,0.3543983333333333,0.3176373,0.37598838333333334
176,0.22583800000000007,0.3437090000000001,0.3077745333333334,0.3725776333333334
177,0.22647466666666666,0.3464913333333332,0.29917323333333334,0.3697424
178,0.22761800000000004,0.34506633333333336,0.2909378833333333,0.36698155000000005
179,0.19294866666666663,0.33112766666666665,0.2822014666666667,0.36392541666666667
180,0.16443366666666667,0.3146486666666667,0.27191005,0.35998965
181,0.1961643333333333,0.330328,0.2632645,0.35677546666666665
